ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_8
__chapter__,,Chapter Name,obt/main/level_main_08-06_end,战场，蔓延不止
,,,,
char-1,塔露拉,塔露拉,Talulah,Талула
char-2,爱国者,爱国者,Patriot,Патриот
char-3,霜星,霜星,FrostNova,Фростнова
char-4,？？？,？？？,"??? ",???
char-5,怯生生的孩子,怯生生的孩子,Timid Child,Робкий ребенок
char-6,萨沙,萨沙,Sasha,Саша
char-7,阿丽娜,阿丽娜,Alina,Алина
,,,,
line-11,塔露拉,谢谢您的支援，先生......,"Thank you for your assistance, Mr...","Благодарю вас за поддержку, сэр..."
line-13,爱国者,——塔露拉。,—Talulah.,— Талула.
line-14,爱国者,你想离开雪原？你会被乌萨斯的铁甲碾碎。,You want to leave the tundra? You will be crushed under the armor of Ursus.,Ты хочешь покинуть ледяные поля? Тебя раздавят в лепешку урсусские стальные доспехи.
line-16,霜星,爸？为什么是现在？我们不是打赢了——,Dad? Why right now? Didn't we alread—,Отец? Почему сейчас? Разве мы не победили —
line-18,爱国者,盾卫已经去收集资源。你收队。命令全部人转移。,The Shieldguards have already gone to collect resources. Take the squad. Order them all to move.,Щитовики уже отправились на сбор ресурсов. Веди свой отряд. Приказываю всем отступить.
line-20,霜星,......是。,...Alright.,...Есть.
line-22,爱国者,你和你的计划会让所有人都送命。,You and your project will get everyone killed.,Ты и твой план погубите всех.
line-23,,塔露拉意识到，面前的巨人是第一次对自己发表他的意见。即使这意见不可撼动，伤人入骨。,"Talulah realizes. This is the first time the giant before her has personally issued his opinion. Even if that opinion is no shock, it still shakes her to the bone.","Талула осознала, что этот гигант перед ней впервые высказал свое мнение. Даже если это мнение было непоколебимым и ранило до глубины души."
line-25,塔露拉,西北冻原也不能让我们活下去。我们的队伍越壮大，就越需要食物与能源补给，厌恶我们的聚落远比支持我们的村庄更多。,"And the Northwestern Tundra can't keep us alive forever. The larger our group grows, the more food and energy supplies we need, and the villages that revile us far outnumber the ones that support us.","Северо-западная тундра тоже не даст нам выжить. Чем больше становится наш отряд, тем больше пищи и ресурсов нам требуется, а поселений, ненавидящих нас, гораздо больше, чем деревень, готовых поддержать."
line-26,塔露拉,一年一季的苔麦......哪怕我们也参与耕种，那能收成多少？,"One season of mossoats, each year... even if we all pitch in for the tilling, how much would we harvest in the end?","Сезонная мховая пшеница... даже если мы сами будем заниматься земледелием, много ли мы соберем?"
line-27,塔露拉,我们的田地会不会被纠察队毁掉？游击队能够轻松地战胜他们，但其他的感染者做不到。,"Will our fields be destroyed by the Patrol Unit? The guerrillas can easily dispose of them, but the other Infected can't.","Не уничтожат ли наши поля патрульные отряды? Партизаны могут легко их одолеть, но другие зараженные — нет."
line-29,爱国者,你在加速他们的死亡。,You are hastening their deaths.,Ты ускоряешь их гибель.
line-31,塔露拉,我们只有离开冻原。不是去萨米，也不是去荒地......我们向东方去，向南方去，向温暖的地方去。,"Our only choice is to leave the tundra. Not for Sami, and not for the barrens... we'll head east, head south, head for warmer places.","Мы должны уйти из тундры. Не в Сами, не в пустоши... Мы пойдем на восток, на юг, в теплые края."
line-33,爱国者,你要怎么样生存下去？ 你要怎样让我们这么多人生存下去？,"How will you survive? How will you allow us all, so numerous, to survive?",Как ты собираешься выжить? Как ты собираешься позволить стольким из нас выжить?
line-34,爱国者,游击队是在救人。游击队绝不会牺牲游击队之外的人。只有战士才牺牲。,The guerrillas save people. The guerrillas sacrifice none but ourselves. Only warriors sacrifice themselves.,"Партизаны спасают людей. Партизаны никогда не принесут в жертву никого, кроме самих себя. Жертвуют собой только воины."
line-36,塔露拉,然而，在各个城市和城市周边生活的感染者，远比在冻原上的更多。,"But there are Infected in every city and their surroundings, so many more than there are on the tundra.","Однако зараженных, живущих в городах и их окрестностях, гораздо больше, чем в тундре."
line-37,塔露拉,您常驻守北方，对北方感染者的遭遇深恶痛绝......所以您也不太有机会了解到，南方的感染者是怎样生活的。,"You permanently protect the north, detesting all that the Infected of the north endure... so you've had little chance to understand the kind of life the Infected of the south have.","Вы постоянно охраняете север и питаете глубокое отвращение к тому, что приходится переживать северным зараженным... поэтому у вас не было возможности узнать, как живут зараженные на юге."
line-39,爱国者,他们过得很好？,Do they live well?,Они живут хорошо?
line-41,塔露拉,他们过得很糟。,They live miserably.,Они живут ужасно.
line-43,爱国者,你想吸纳他们。,You want to absorb them.,Ты хочешь их собрать.
line-45,塔露拉,我要团结他们。,I intend to unite with them.,Я хочу их объединить.
line-47,爱国者,帝国看向感染者时，你首当其冲。,"When the Empire turns its gaze to the Infected, you will bear the brunt.","Когда Империя смотрит на зараженных, ты оказываешься на линии огня."
line-49,塔露拉,不是团结在我身边。不。是团结在同一个理念周围。,I don't want them to unite by my side. No. I want them to unite under one encompassing philosophy.,Не объединить вокруг меня. Нет. Объединить вокруг единой идеи.
line-51,爱国者,理念？感染者在冻原上被当作锯末，在矿场里被当作废渣，在聚落被当作惩示，在城市被当作什么燃料。,"Philosophy? The Infected are taken as sawdust on the tundra, as slag in the mines, as warnings in the villages, as unknown fuel in the cities.","Идеи? В тундре зараженных считают опилками, в шахтах — отходами, в поселениях — средством для назидания, а в городах... топливом."
line-52,爱国者,冻原上的感染者既不无知也不愚蠢。我们不抱幻想。所有的理念在被实践前都是幻想。,The tundra Infected are certainly not ignorant nor foolish. We do not cradle fantasy. All philosophies are fantasy before they are put into practice.,"Зараженные в тундре не невежественны и не глупы. Мы не питаем иллюзий. Все идеи, прежде чем быть воплощенными, остаются лишь фантазиями."
line-53,爱国者,冻原上还有矿场，有巡逻队，有愚蠢懈怠的守军。我们有地方获得资源。,"On the tundra, there are still mines, patrol forces, foolish and lackadaisical guards. We have places to obtain our resources.","В тундре есть шахты, есть патрули, есть глупые и нерадивые гарнизоны. У нас есть места, где можно добыть ресурсы."
line-55,塔露拉,冰原上的资源迟早会被耗尽，因为我们没有开发资源的手段。,"The resources throughout this icy tundra will sooner or later be exhausted, because we have no method of extracting our own.","Ресурсы на ледяных полях рано или поздно закончатся, потому что у нас нет средств для их разработки."
line-56,塔露拉,我们没有可持久运作的移动城市，我们没有称职专业的天灾信使......,"We have no enduringly mobile nomadic city, no specially qualified Catastrophe Messengers...","У нас нет постоянно функционирующих подвижных городов, у нас нет компетентных и профессиональных вестников катастроф..."
line-58,爱国者,走向城市，我们一无所有。,Go to the city and we have nothing at all.,"Идя к городам, мы останемся ни с чем."
line-60,塔露拉,我们会获得新的朋友。,We will earn new friends.,Мы найдем новых друзей.
line-62,爱国者,谁是你的朋友？,Who are your friends?,Кто твои друзья?
line-63,爱国者,我可以承认你的计划有过人之处。,I recognize your project has merit to it.,"Я могу признать, что в твоем плане есть незаурядные моменты."
line-64,爱国者,然而，你所图谋的，即使有可取之处也不出奇。,"But at the same time, it is also nothing special.","Тем не менее, в том, что ты замышляешь, нет ничего удивительного, даже если есть здравые мысли."
line-65,爱国者,有多少战略家在冻原上潦倒而死？你所说的这些，我看不出你为何能做到，靠什么去实现。,"How many strategists have died frustrated on the tundra? You speak of it, and I see no reason it could be done, nor on what it would be realized.","Сколько стратегов сгинуло в тундре? Я не вижу, как ты собираешься достичь того, о чем говоришь, и на что опираешься."
line-66,爱国者,为什么先皇能让大地颤抖？因为他执着于此，且从不谈论远大愿景。他只迈步。,"Why could the last Emperor make the land tremble? Because he held fast to it, never talking of any wild, far-flung vision. He only walked in steps.",Почему покойный император заставлял землю дрожать? Потому что он был одержим целью и никогда не говорил о великих планах. Он просто делал шаги.
line-67,爱国者,而你不能。,Which you cannot do.,А ты — нет.
line-69,塔露拉,......,......,...
line-70,塔露拉,先生！,Sir!,Сэр!
line-71,塔露拉,你说我会被乌萨斯的铁甲碾碎，我承认，他们迟早会看向我们这里。我们总有一天会被抓到。我们都逃不过。,"You say I may be crushed by the armor of Ursus, and I concede that. They will sooner or later turn their attention to us here.  There will always come a day when they catch us. None of us can escape it.","Вы говорите, что меня раздавят урсусские стальные доспехи — я признаю, они рано или поздно обратят свой взор на нас. Однажды нас все равно поймают. Никому из нас не сбежать."
line-72,塔露拉,“让他们来”？您会这样想吗，先生？,"'Let them come?' Is that how you approach it, sir?","«Пусть приходят»? Вы так думаете, сэр?"
line-73,塔露拉,冻原会让您更好地准备一场决战吗？,That the tundra would prepare you better for a battle?,Позволит ли тундра вам лучше подготовиться к решающей битве?
line-75,爱国者,你在寻找一个新的战场？,You are seeking a new battlefield?,Ты ищешь новое поле битвы?
line-77,塔露拉,我在找寻一个胜机。,I'm looking for a chance to win.,Я ищу шанс на победу.
line-78,塔露拉,对于更多感染者来说那是希望。但对于你我这种战士，那是一个契机。摆脱我们固有战略的唯一契机。,"As far as so many more Infected are concerned, that's hope. But to fighters like you and me, that's a crossroads. The only crossroads where we can break from our intrinsic strategy.","Для большинства зараженных это надежда. Но для таких воинов, как мы с вами, это возможность. Единственный шанс вырваться из оков нашей старой стратегии."
line-79,塔露拉,在冻原上的辗转到头来也只是慢性死亡......就像我们身为感染者剩下的那点生命一样。我要不断重复这一点，因为你我都清楚。,"To wander the tundra, in the end, is still nothing more than a slow death... much like the little life we have left as Infected. I need to repeat this point, over and over, because we're all fully aware of it.","Скитания по тундре в конечном счете — лишь медленная смерть... такая же, как те крохи жизни, что остались у нас как у зараженных. Я буду повторять это, пока вы не поймете."
line-81,爱国者,——,——,—
line-82,爱国者,我女儿也许会相信你。,Perhaps my daughter is convinced by you.,"Может, моя дочь тебе и поверит."
line-83,爱国者,但我不相信一个从没因事实而失望，一直只是在陈托某种假大空的学说的人。,"But I will not be convinced by someone who has never lost hope in the truest sense, who has only ever spouted an empty miscellany of armchair strategies.","Но я не верю тому, кто никогда не разочаровывался в реальности, а лишь пустословит о неких грандиозных теориях."
line-85,塔露拉,......,......,...
line-90,霜星,塔露拉？你去哪里？,Talulah? Where are you going?,Талула? Куда ты идешь?
line-92,塔露拉,没事的。只是去检查矿场有没有生还者。,I'm fine. Just going to check if there are any survivors in the mines.,"Все в порядке. Просто иду проверить, есть ли выжившие на шахте."
line-94,霜星,游击队已经带队出发，聚落也开始转移了。乌萨斯的军队也没有继续追踪我们的迹象......,"The guerrillas have already set out, and the village is starting the move too. The army isn't following our tracks, either...","Партизаны уже отправились, поселение тоже начало эвакуацию. И признаков того, что армия Урсуса продолжает преследование, нет..."
line-95,霜星,爸？你怎么了？,Dad? What's up with you?,Отец? Что с тобой?
line-97,爱国者,咳......,*cough*...,Кхе...
line-98,爱国者,只是普通的咳嗽。,Just a normal cough.,Просто обычный кашель.
line-104,,窸窣声,A rustling sound.,Шорох
