ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act18d3
__chapter__,,Chapter Name,activities/act18d3/level_act18d3_st01,唤醒噩梦
,,,,
char-1,主教,主教,Bishop,Епископ
char-2,斯卡蒂,斯卡蒂,Skadi,Спектр
char-3,歌蕾蒂娅,歌蕾蒂娅,Gladiia,Гладия
char-4,？？？,？？？,???,???
char-5,海嗣,海嗣,Seaborn,Морское отродье
,,,,
line-10,主教,快快，请进，请进。我知道你会来这里的。,"Now quick, come in, come in. I knew that you would make it here.","Живее, прошу, проходите, проходите. Я знал, что вы здесь появитесь."
line-12,斯卡蒂,你怎么知道？,How?,Откуда ты знал?
line-14,主教,该怎么解释呢......,What can I say...?,Как бы это объяснить...
line-16,斯卡蒂,呵。不用了。,Hmph. No need.,Ха. Не утруждайся.
line-18,主教,你到哪里都会背着那个箱子吗，吟游歌手？,"Do you carry that case everywhere you go, wandering singer?","Вы повсюду таскаете с собой этот футляр, бард?"
line-20,斯卡蒂,是。,Yes.,Да.
line-22,主教,那你介意我再问个问题吗？,Then would you mind if I asked another question?,"Тогда не возражаете, если я задам ещё один вопрос?"
line-24,斯卡蒂,问。,Go ahead.,Спрашивай.
line-26,主教,这箱子里装的是什么？,What is inside this case?,Что в этом футляре?
line-28,斯卡蒂,萨克斯。,A saxophone.,Саксофон.
line-30,主教,啊，真不错，萨克斯......吹奏乐器吗。不错。,"Ah, very well, a saxophone... a wind instrument. Quite good.","Ах, замечательно, саксофон... духовой инструмент. Неплохо."
line-31,主教,我是否有幸听听它的音色？音乐......这座城市已经许多年没有音乐响起了。,May I have the fortune to hear it? Music... this city has not heard music for a swathe of years.,Не окажете ли вы мне честь послушать его звучание? Музыка... в этом городе уже много лет не звучит музыка.
line-32,主教,哦，不，抱歉......我忽然想到，吟游歌手要拿报酬。,"Oh, no, beg pardon... I realize asudden that a wandering singer takes coin for her song.","О, нет, прошу прощения... Я внезапно подумал, что барды требуют плату."
line-33,主教,这可难住我了，您看，恐怕我拿不出什么赏钱。,"This does stump me. You see, I fear I cannot proffer much tip to speak of.","Это ставит меня в тупик, понимаете ли, боюсь, я не смогу предложить вам вознаграждение."
line-34,主教,且看这座老建筑。哼，打理它是件相当困难的事，货币在这里代表不了什么，没人收集，也没人用。,"Yet look at this old building. Humph, taking care of it is quite the challenging task, when currency stands for little here, none will collect it, and none will use it.","Взгляните на это старое здание. Хм, следить за ним — дело крайне непростое, деньги здесь ничего не значат, никто их не копит и не использует."
line-35,主教,但我也有提供一顿午餐的余力。吟游歌手，怎么样？你愿不愿意随便演奏点什么？,"But I can spare energy to prepare you a luncheon. Wandering singer, what say you? Would you will to perform a little something or other?","Но я в силах предложить вам обед. Бард, как насчёт этого? Не желаете ли что-нибудь исполнить?"
line-36,主教,请你吃顿饱饭这种事我还算是能做到的，虽然也不是什么美味佳肴......,"It is in my power, at least, to invite you to eat your fill, though it may not be any gourmet delicacy...","Сытно покормить вас — это то, что я ещё могу себе позволить, хотя это и не изысканные деликатесы..."
line-38,斯卡蒂,......,......,......
line-40,主教,看你沉默不语的样子......啊，会不会是这样：比起音乐，你更喜欢舞蹈？,"I see you are fallen silent... Ah, might I guess: you prefer dance, rather than song?","Вижу, вы молчите... Ах, может быть, дело в том, что вместо музыки вы предпочитаете танец?"
line-41,主教,你看，你还穿着舞裙......有天赋的人。我们可太久没在这见到你这样光彩照人的朋友了。,"You see, you are wearing a dancer's dress... you are talented. It has been too long since last we had a friend with such brilliant luster as you.","Посмотрите, на вас даже платье для танцев... Талантливая личность. Мы так давно не видели здесь таких блистательных друзей, как вы."
line-43,斯卡蒂,（......肉麻。）,(...Sickening.),(...Противно до тошноты.)
line-44,斯卡蒂,你如果要听什么，当时你就可以让我唱。不用到这。,"If you want to listen to something, you can let me sing for now.","Если хочешь что-то услышать, мог бы попросить меня спеть тогда. Не обязательно было приходить сюда."
line-45,斯卡蒂,我来是要问一个问题。你身边站着的这个人可能知道，现在我觉得你也脱不开干系。,I came to ask a question. The person standing by you probably knows. I don't think you can escape the issue anymore.,"Я пришла, чтобы задать вопрос. Тот, кто стоит рядом с тобой, возможно, знает ответ, и теперь я чувствую, что ты тоже в этом замешан."
line-47,歌蕾蒂娅,......,......,......
line-49,主教,我的，这位——熟人，过去和你认识吗？,"Were my—people, here, and you, once familiar?","Эта моя... знакомая, вы были знакомы в прошлом?"
line-51,歌蕾蒂娅,自然认识。,We naturally were.,"Разумеется, знакомы."
line-53,主教,没有问你。,I was not asking you.,Я не у тебя спрашивал.
line-59,,歌蕾蒂娅别过头去，不再言语。,"Gladiia turns her head away, and does not speak further.",Гладия отвернулась и замолчала.
line-64,斯卡蒂,不认识。,We aren't.,Не знакомы.
line-66,主教,哦......？,Oh...?,О...?
line-68,斯卡蒂,因为我不知道这个人是不是我当初认识的那个了。,Because I have no idea now if this person is the one I originally knew.,"Потому что я не уверена, является ли этот человек тем самым, кого я знала раньше."
line-70,主教,哦，哦......,"Oh, oh...","О, о..."
line-71,主教,这个，也是正常的。人都是会变的。海水拍打陆地，假以时日也能让海岸变成沙子。,"This, too, is normal. All people may change. Seawater beats against dry land, and can turn the coast into sand, given time.","Что ж, это нормально. Люди меняются. Морская вода омывает сушу, и со временем побережье превращается в песок."
line-72,主教,所以你来这里，不是她让你来的？,"So. Your arrival, was it not her who willed it?","Так ты пришла сюда не потому, что она тебя просила?"
line-74,斯卡蒂,——不是你让我来的吗？,—Wasn't it you who wanted me to come?,— Разве не ты просил меня прийти?
line-76,主教,仅仅是我让你来，你是不会来这里的，对吧。我只是个陌生人。,"Were it merely my bidding, you would not show here, correct? I am only a stranger.","Если бы только я просил, ты бы не пришла, верно? Я для тебя лишь незнакомец."
line-77,主教,我只是问，她有没有让你来这里？,"I simply ask; did she will you to come, or not?","Я лишь спросил, просила ли она тебя прийти сюда?"
line-79,斯卡蒂,没有。我是自己来的。,She didn't. I came on my own.,Нет. Я пришла сама.
line-81,主教,嗯，你没有说谎。我能听出谎言......但你是诚实的。,"Hmm, you are not lying. I can hear when lies are told... but you are honest.","Хм, ты не лжёшь. Я могу распознать ложь... но ты искренна."
line-83,斯卡蒂,问这问那，我却什么都还没说，你怎么能这么讨人厌？,"You keep asking, and I still haven't even said anything. How can you be this obnoxious?","Задаешь вопросы, а я ещё ничего не сказала, как ты можешь быть таким раздражающим?"
line-85,主教,消气，消气，歌手。我不是故意的。谨慎一点对我们都有好处。,"Be calm, be calm, singer. It was not my intention. A little prudence does us all good.","Сбавь пыл, сбавь пыл, певица. Я не нарочно. Осторожность идёт на пользу нам обоим."
line-87,斯卡蒂,那我来问。,Then my turn to ask.,Тогда я буду спрашивать.
line-88,斯卡蒂,这座城市里的人很信任你，但是，在海岸上发生的那些事——,"This city's people all have great trust in you, but what happens on the seashore—","Люди в этом городе доверяют тебе, но то, что происходит на побережье —"
line-89,斯卡蒂,绝对不正常。,—is absolutely not normal.,совершенно ненормально.
line-90,斯卡蒂,乞食。恐鱼。海。,Scrap-begging. Sea Terrors. The ocean.,Нищенство. Морские отродья. Море.
line-91,斯卡蒂,你是哪里人？你是不是知道些什么？你和她对我隐瞒了什么？,"Where are you from? You know something, don't you? What have you and her hidden from me?",Откуда ты? Знаешь ли ты что-нибудь? Что вы с ней скрываете от меня?
line-95,主教,啊，哈哈。是的，我知道的比别人确实要多一些。,"Ah, hah-hah. Yes, indeed, I know a good deal more than others.","Ах, ха-ха. Да, я действительно знаю немного больше других."
line-96,主教,确实，我知道有人想见你的。,"Indeed, I know of one who wants to meet you.","И правда, я знаю, что кое-кто хочет с тобой встретиться."
line-98,斯卡蒂,见我？因为我是个吟游歌手？,Meet me? Since I'm a wandering singer?,Встретиться со мной? Потому что я бард?
line-100,主教,在乎音乐的是我。,The one who cares for music is me.,Музыка заботит меня.
line-101,主教,虽然这听上去有些荒唐，但想见你的其实不是我。,"Though it may invite some disbelief, the one wanting to meet you is not me.","Хотя это звучит абсурдно, встретиться с тобой хочет не я."
line-102,主教,想见你的是我的一位朋友。应他要求，我才邀请你来到这里。,It is a friend of mine. I bid you here on his request.,Встретиться хочет мой друг. По его просьбе я и пригласил тебя сюда.
line-104,斯卡蒂,谁？他想见我？,Who? He wants to meet me?,Кто? Кто хочет со мной встретиться?
line-106,主教,随我来吧。见到他你就知道了。,Come with me. You shall know when you see him.,Идём со мной. Увидишь его и поймёшь.
line-107,主教,毕竟......你也有一位朋友在这。,After all... you have a friend here too.,В конце концов... у тебя здесь тоже есть друг.
line-112,,“你想见她，不是吗。”,"'You wish to meet her, do you not?'","«Ты ведь хочешь её увидеть, не так ли?»"
line-115,,主教的语气轻描淡写，斯卡蒂却不能安之若素。,"The bishop's tone makes light of it, but Skadi remains calm.","Тон епископа был небрежным, но Спектр не могла оставаться спокойной."
line-116,,这个猎人暗暗握紧箱子的把手。得益于材料学的进步以及罗德岛切实投入的大量经费，她才没把这个特制“萨克斯箱”的把手捏碎。,"The hunter secretly grips the case's handle tight. Only fruits of progress in material science and Rhodes Island earnestly investing vast funds are to thank right now, that she does not crush the handle of this specialized 'saxophone case' apart.",Охотница незаметно сжала ручку своего футляра. Лишь благодаря прогрессу в материаловедении и щедрому финансированию «Родоса» она не раздавила ручку этого специально сконструированного «футляра для саксофона».
line-121,主教,请走这里。,"Please, in here.","Пожалуйста, сюда."
line-125,主教,至于你。,As for you.,Что касается тебя.
line-127,歌蕾蒂娅,......,......,......
line-129,主教,你也来。赏赐你的时候也到了。,"Come too. The time for your reward, too, is come.",Ты тоже пойдёшь. Пришло время и тебя вознаградить.
line-134,,斯卡蒂看了眼歌蕾蒂娅，没多说什么。,"Skadi glances at Gladiia briefly, and does not say much.","Спектр взглянула на Гладию, но ничего не сказала."
line-136,,斯卡蒂循着主教的身影走去。不知怎么的，她总感觉主教的走路姿势很怪，像是软了腿，或是缺了关节。,"Skadi follows over to the figure of the bishop. Unsure as to why, she's felt the whole time that the bishop has a very odd gait. Like his legs are lame, or his joints are missing.","Спектр пошла вслед за епископом. Почему-то ей казалось, что его походка странная, будто у него подкашивались ноги или не хватало суставов."
