ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act39side
__chapter__,,Chapter Name,activities/act39side/level_act39side_01_beg,倒悬苍白海上
,,,,
char-1,伊西多,伊西多,Isidro,Исидор
char-2,通讯器留言,通讯器留言,Message on the Communicator,Сообщение в коммуникаторе
char-3,帕斯卡拉,帕斯卡拉,Pascuala,Паскала
char-4,？？？,？？？,???,???
char-5,尖利的女声,尖利的女声,Piercing Female Voice,Женский голос
char-6,安纳斯塔西奥,安纳斯塔西奥,Anastasio,Анастасио
char-7,老实的镇民,老实的镇民,Honest Townsperson,Честный горожанин
char-8,忧伤的镇民,忧伤的镇民,Distressed Townsperson,Грустный горожанин
char-9,忐忑的镇民,忐忑的镇民,Perturbed Townsperson,Обеспокоенный горожанин
char-10,不安的镇民,不安的镇民,Flustered Townsperson,Тревожный горожанин
char-11,恐慌的镇民,恐慌的镇民,Panicking Townsperson,Испуганный горожанин
,,,,
line-8,,半个月前,Two weeks ago,Полмесяца назад.
line-22,伊西多,记录，滑沙板磨损严重，附近找不到适合用来修补的材料。,"Beginning recording. My sandboard is heavily damaged, and I can't find the materials I need to repair it nearby.","Запись: доска для серфинга по песку сильно изношена, поблизости нет материалов, подходящих для ремонта."
line-23,伊西多,淡水储备......最多还能再坚持一天。,"As for my water reserves... They can last me one more day, at most.",Запасы пресной воды... их хватит максимум еще на день.
line-24,伊西多,所幸距离下一个补给点只有半天行程。,"Thankfully, the next supply point is only half a day away.","К счастью, до следующего пункта снабжения всего полдня пути."
line-28,伊西多,......这么多条留言？,...This many messages? Really?,...Так много сообщений?
line-29,伊西多,我攒了这么长时间吗？,How long have I been letting them build up?,Неужели я так долго их копил?
line-33,通讯器留言,棘刺干员，好久没收到你的讯息了，有空记得汇报一下你的位置哦。,"It's been a while since we received any news from you, Operator Thorns. Remember to report your position when you have the chance.","Оператор Торнс, мы давно не получали от тебя вестей. Если будет время, не забудь доложить о своем местонахождении."
line-37,通讯器留言,据我估算，我们的任务路线有所重叠，或许之后能找到机会见一面，我有些多余的物资可以给你。,"By my calculations, our mission routes will overlap a bit. If we can find the opportunity to meet up, I've got some spare supplies I can share.","По моим расчетам, наши маршруты пересекаются. Возможно, нам удастся встретиться, у меня есть кое-какие излишки припасов для тебя."
line-41,通讯器留言,嘿，棘刺，你那个超级厉害的剑术寻找之旅进行得如何了？有没有什么好消息分享下？,"Hey Thorns, how's your trip to find super-ultra-cool sword techniques going? Any good news?","Эй, Торнс, как проходят твои поиски невероятного искусства владения мечом? Есть какие-нибудь хорошие новости?"
line-47,伊西多,算了......等行程结束后慢慢回吧。,Forget it... I'll reply once I'm done walking.,"Ладно... отвечу, когда закончу путь."
line-60,伊西多,拦在中间的这片区域......地图上除了个名字，什么都没标。,This region between me and the supply point... All the map shows is a name.,"Этот участок, преграждающий путь... на карте, кроме названия, ничего нет."
line-62,伊西多,“苍白海”......海吗？,"'Mar Pálido'... The Pale Sea, huh?",«Бледное море»... море?
line-64,伊西多,但愿它不是真的海。,Hopefully it's not a real sea.,"Надеюсь, это не настоящее море."
line-74,,荒芜的原野上，风带起沙粒，送来一股咸腥的气味。,"Out in the open wilderness, sand rides along with the wind, bringing with it a salty, finny smell.","На пустынной равнине ветер поднял песок, принеся с собой соленый запах."
line-75,,阴云的裂隙间，阳光倾泻而下，早已干涸的河道中只有几株灌木。,"Sunlight pokes through gaps in the dark clouds, while long-dry riverbeds boast only a few bushes and shrubs.","Сквозь разрывы в тяжелых тучах пробивался солнечный свет, освещая высохшее русло реки, где росли лишь редкие кустарники."
line-76,,其中窸窸窣窣的声音，证明这片荒原并非毫无生气。,Some rustling among them proves that this so-called wasteland is not completely devoid of life.,"Шорох, доносящийся оттуда, доказывал, что эта пустыня не так безжизненна, как казалось."
line-77,,扯出绳索，青年将几块木板绑紧，然后踩在上面，纵身一跃。,"The young man pulls out a rope and ties together a few planks. Once done, he steps atop them and takes a leap.","Юноша связал несколько досок веревкой, встал на них и совершил прыжок."
line-92,,陡然，荒原戛然而止，一道高崖截断了大地。,"All of a sudden, the wastes come to an end. A great cliff has sundered the earth.",Внезапно равнина оборвалась — высокую скалу рассекала земля.
line-93,,俯瞰崖底，伊西多真的看见一片苍白色的海。,"As he looks down, Isidro sees a pallid white sea.","Взглянув вниз, Исидор действительно увидел море бледно-белого цвета."
line-94,,费尽力气，青年攀下陡崖，踏上那片苍白的“海”，他伸手蘸了一抹干燥的“海水”送入口中。,"With all his strength, he climbs down the cliff. Once he touches down onto the pale 'sea', he reaches down and sticks a hand into the bone-dry 'seawater'.","С огромным трудом юноша спустился с утеса и ступил на это бледное «море», он протянул руку, взял щепотку сухой «морской воды» и попробовал на вкус."
line-99,伊西多,......盐晶？,...Salt crystals?,...Кристаллы соли?
line-102,,没有水，只有苍白的盐地，其间点缀着数不清的骨骸，那都是它所吞噬的生命。,"There is no water here. There is only pale salt, studded with countless skeletons. The remains of whatever unlucky creatures were swallowed up by this place.","Здесь не было воды, лишь бледная соляная пустыня, усеянная бесчисленными костями — остатками поглощенных ею жизней."
line-103,,但青年总觉得在看不见的角落，还有什么在流淌，在涌动。,"But the only thing on his mind is that somewhere, in some nook or cranny he cannot see, there is something flowing, rushing.","Но юноша чувствовал, что в невидимых глазу уголках что-то продолжает течь и пульсировать."
line-104,,他停下滑沙的木板，摸向腰间的佩剑。,He stops sliding on his makeshift sandboard and reaches for the sword at his waist.,Он остановил свою доску и потянулся к мечу на поясе.
line-106,伊西多,奇怪......,That's odd...,Странно...
line-107,伊西多,这个地方不应该有任何生命的。,How can there be anything alive here?,В этом месте не должно быть никакой жизни.
line-113,,脚下的地面轻轻震动，围绕着青年，盐层缓缓下陷。,"The ground beneath his feet shudders slightly, and the layer of salt slowly subsides around him.","Земля под ногами слегка завибрировала, и вокруг юноши соляной пласт начал медленно проседать."
line-114,,震动愈发剧烈，盐地上，一道凹痕向青年的位置快速蔓延。,The trembling intensifies as an indentation in the salty ground approaches him at high speed.,"Дрожь становилась все сильнее, и на соляной поверхности к месту, где стоял юноша, быстро распространилась борозда."
line-117,伊西多,盐漠里有鳞？！,There are fins in a Salt Flat?!,Чешуя в соляной пустыне?!
line-124,,猝不及防，庞然巨物从盐层中跃出，船帆般的背鳍高高扬起，锋锐的头甲如同巨矛。,"A gigantic beast breaches the salt, catching him off guard. Its sail-like dorsal fin looms overhead, and its pointed, armored snout is shaped like a colossal lance.","Неожиданно из слоя соли вырвалось огромное существо: его спинной плавник, похожий на парус, высоко взметнулся, а острая головная броня сверкала, как гигантское копье."
line-138,,强烈撞击下，青年被抛上天空，五脏六腑痛得仿若移位，随即重重摔在地上，不省人事。,"It barrels into him, and he is thrown off his feet. His organs feel like they are being rearranged as he arcs through the air, before he slams into the ground and blacks out.","От мощного удара юношу подбросило в воздух, боль пронзила все внутренности, словно они сместились, а затем он тяжело рухнул на землю, потеряв сознание."
line-139,,意识模糊之际，他看到那条巨鳞迅速钻回盐层中不见踪影。,"As his consciousness fades, he sees the giant finbeast dive back into the salt, leaving no trace in its wake.","В полузабытье он увидел, как гигантская чешуйчатая тварь быстро скрылась обратно в соляных пластах."
line-140,伊西多,（......幸好......它不饿......）,(Good thing... it wasn't hungry...),"(...Хорошо, что... она не голодна...)"
line-147,伊西多,......,...,...
line-162,帕斯卡拉,咳咳......真是倒霉......,*Cough* *Cough*... Just my luck...,Кхе-кхе... вот же невезенье...
line-164,帕斯卡拉,天杀的执裁官简直阴魂不散，就连这毛都不长一根的破地方他也追得上来。,That damn alguacil doesn't know when to give up. He even chased me all the way to this blasted land where nothing grows!,"Чертов инквизитор просто преследует меня по пятам, даже в такую дыру, где трава не растет, он смог пробраться."
line-166,帕斯卡拉,咳，糟......刚刚跑得太急，水都洒了。,"*cough* Mierda... Ran too fast, all my water spilled.","Кх, черт... пока бежала, всю воду расплескала."
line-168,帕斯卡拉,......怎么办......,What now...,...Что же делать...
line-172,帕斯卡拉,呸、呸呸——这一嘴的盐！好咸！！,Urgh! Pleh! Bleh! This is just salt! Ptooey!,"Тьфу, тьфу... полный рот соли! Какая соленая!"
line-173,帕斯卡拉,没水的话，我根本没法活着走到雅隆镇......,"Without water, I'm not gonna make it to the town of Aarón...",Без воды я ни за что не доберусь до города Ялон живой...
line-177,帕斯卡拉,那是......？,"Huh, what's that...?",Это что еще...?
line-180,,一阵风将盐尘卷起，她看到盐地上露出一双脚，一动也不动。,"A gust blows past a pile of salt and dust, revealing two motionless legs sticking out from beneath it.","Порыв ветра поднял соляную пыль, и она увидела на земле неподвижную пару ног."
line-182,帕斯卡拉,......看来又是一个误入盐漠的倒霉蛋。,...Just some other unlucky soul who wandered into the Salt Flat without knowing what he was getting into.,"...Похоже, еще один неудачник, забревший в соляную пустыню."
line-184,帕斯卡拉,不过老兄，你的倒霉就是我的幸运，嘿嘿。,"Your bad luck is my good fortune though, amigo. Hehe.","Но, дружище, твоя неудача — это моя удача, хе-хе."
line-190,帕斯卡拉,一整罐水！太好了......,A full bottle of water! Excelente!,Целая фляга воды! Отлично...
line-197,帕斯卡拉,咕咚咕咚......咕咚......哈......,*Glug* *Glug*... *Glug*... Hah...,"Глоток, еще глоток... ха..."
line-199,帕斯卡拉,让我看看，你这家伙还带了什么？,Let's see what else you've got...,"Давай-ка посмотрим, что еще ты притащил?"
line-205,帕斯卡拉,这些瓶瓶罐罐都是什么......,The hell're all these bottles and canisters?,Что это за пузырьки и склянки...
line-214,帕斯卡拉,呕——！什么味道？！好刺鼻！,Urgh! What in the BLAZES is that smell?! It stings!,Фу-у! Что за запах?! Такой едкий!
line-216,帕斯卡拉,管它是药还是毒，反正能拿去卖钱......罗德岛制药？不管，归我了。,"Well, whether it's medicine or poison, it should still fetch a pretty penny... Rhodes Island Pharmaceuticals? Whatever, mine now.","Неважно, яд это или лекарство, все равно можно продать... Фармацевтическая компания Родос? Пофиг, теперь это мое."
line-221,帕斯卡拉,啧，居然还拿着外国钱，难道指望这羽不拉屎的地方有人给他换钱？,"Huh? Foreign money? What, you expected find a money changer out here? Not even fowlbeasts shit here!","Ц, еще и иностранные деньги носит. Неужели он надеялся, что в этой дыре кто-то станет ему их менять?"
line-223,帕斯卡拉,不过......说不定以后我能用上，都拿走好了。,Buuuut... I might have a use for it later. Mine now.,"Впрочем... может, пригодятся когда-нибудь, заберу все."
