ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_15
__chapter__,,Chapter Name,obt/main/level_main_15-01_beg,执此剑者
,,,,
char-1,？？？,？？？,???,???
char-2,特雷西斯,特雷西斯,Theresis,Терезис
char-3,“阿斯卡纶”,“阿斯卡纶”,'Ascalon',Аскалон
,,,,
line-9,？？？,（未知语言）新的冗余信息？,(Unknown language) New redundant information?,(Неизвестный язык) Новый избыточный поток данных?
line-15,特雷西斯,这里剩下的，也只有虚无？,All that remains is... nothingness?,"Неужели всё, что здесь осталось — это лишь пустота?"
line-17,,他看着那个菱形，就像——,"He looks at the rhombus, it appears to be—","Он смотрел на этот ромб, словно —"
line-19,特雷西斯,......盯着我的眼睛。,...An eye staring at me.,...словно он смотрит мне в глаза.
line-21,,特雷西斯生平第一次，有了战栗的感觉。,"For the first time in his life, Theresis feels a shiver run down his spine.",Впервые в жизни Терезис ощутил дрожь.
line-22,,但那并非来自他本能的反应，他感知到，一种他无法触碰的意志试图迫使他屈服——,"But it isn't his own instinctive reaction. He feels that a force, a will he can't see is trying to make him submit.","Но это не было инстинктивной реакцией: он почувствовал, как некая недосягаемая для него воля пытается заставить его склониться —"
line-31,特雷西斯,神明也罢，造物主也罢，直面我。,"Be you a god, or my creator, come out and face me.","Бог ли ты, творец ли — предстань передо мной."
line-33,,死寂，冰冷。虚无中，并无一物，也并无回应。,"Dead silence, cold. There is no response from the void.","Мертвая тишина и холод. В пустоте не было ничего, и не было ответа."
line-35,？？？,老师，你不应该来这里。,Master. You shouldn't have come here.,"Учитель, вам не следовало приходить сюда."
line-40,“阿斯卡纶”,殿下已经犯下了鲁莽的错误。我不想再次失去我在乎的人，老师。,"Her Highness has already made a terrible, reckless mistake. I do not want to lose another person I care about.","Его Высочество уже совершил опрометчивую ошибку. Я не хочу снова терять тех, кто мне дорог, учитель."
line-45,“阿斯卡纶”,离开吧，老师，时机尚未成熟。,"Master, leave this place. The time is not yet right.","Уходите, учитель. Время ещё не пришло."
line-47,特雷西斯,你不应该用她来侮辱我，自诩的造物主。,"You should not use her to mock me, oh self-proclaimed <i>Creator.</i>","Ты не должна использовать её, чтобы оскорбить меня, самопровозглашенный творец."
line-49,,眼前的阿斯卡纶绝非幻影，这处奇妙的空间具现了他的记忆。,The Ascalon standing before him is no illusion. This marvelous space has materialized his memories.,Аскалон перед ним вовсе не была призраком — это странное пространство воплотило его собственные воспоминания.
line-51,特雷西斯,你在我的记忆中，依旧还是过去的样子。稚嫩了些。,"In my memories, you are the same as before, just a little less mature.","В моих воспоминаниях ты всё ещё такая, какой была раньше. Немного незрелая."
line-53,“阿斯卡纶”,......？,...?,...?
line-55,特雷西斯,既然真正掌控这里的那些人不敢直面我，说明特蕾西娅的确成功了。他们必然已经受到了诸多的限制。,"Since those who truly control this place dare not face me directly, then Theresa has indeed succeeded. They must have already been subjected to numerous restrictions.","Раз уж те, кто действительно управляет этим местом, не осмеливаются выйти против меня, значит, Терезия действительно преуспела. Их силы наверняка были сильно ограничены."
line-56,特雷西斯,否则那些傲慢的存在也不至于试图让你阻止我。,"Otherwise, those arrogant beings wouldn't have tried to get you to stop me.",Иначе эти высокомерные существа не пытались бы заставить тебя остановить меня.
line-58,,特雷西斯举起了剑。,Theresis raises his sword.,Терезис поднял меч.
line-60,“阿斯卡纶”,老师，你还是不愿跟我离开？,"You still do not wish to leave with me, Master?","Учитель, вы всё ещё не хотите уйти со мной?"
line-62,特雷西斯,战胜我，如果你真想将我带走。,"If you really want to take me away, then defeat me.","Победи меня, если действительно хочешь увести меня отсюда."
line-64,“阿斯卡纶”,好。,As you wish.,Хорошо.
line-81,特雷西斯,很熟练，但依旧只是我教你的技巧。,"You're skilled, but you're merely using the skills I've taught you.","Очень умело, но это всё ещё лишь те техники, которым я тебя обучил."
line-86,,“阿斯卡纶”的身形隐入了紫色的雾气之中，那是属于她的源石技艺。,'Ascalon' disappears into a purple haze. She's used her Originium Arts.,Силуэт «Аскалон» растворился в фиолетовом тумане — это была её собственная Арт-техника Ориниума.
line-87,,特雷西斯想起了他与特蕾西娅带领萨卡兹的残军走入风暴中的那天......,Theresis thinks back to the day he and Theresa led the remnants of the Sarkaz army into that storm...,"Терезис вспомнил тот день, когда он и Терезия вели остатки армии Сарказов сквозь бурю..."
line-88,,他只身走入紫色的烟雾之中，抓住了那个孩子手中的刀。一如此刻。,The day he walked into the purple smoke alone and took the knife from that girl's hands... just as he does again.,Он в одиночку вошел в фиолетовый туман и перехватил клинок из рук того ребенка. Как и в этот момент.
line-91,特雷西斯,好久不见，阿斯卡纶。,"It has been some time, Ascalon.","Давно не виделись, Аскалон."
