ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act12d0
__chapter__,,Chapter Name,activities/act12d0/level_act12d0_08_end,嘉维尔之拳
,,,,
char-1,大祭司,大祭司,High Priest,Верховный жрец
char-2,嘉维尔,嘉维尔,Gavial,Гавиаль
char-3,森蚺,森蚺,Eunectes,Юнектес
char-4,煌,煌,Blaze,Блейз
char-5,宴,宴,Utage,Утагэ
char-6,刻俄柏,刻俄柏,Ceobe,Кеобэ
char-7,可颂,可颂,Croissant,Круассан
char-8,特米米,特米米,Tomimi,Томими
,,,,
line-9,大祭司,哇啊啊啊啊啊啊！哎，不对，下次我应该换个叫声，有点腻了......,"Waaaaahhhh! Ugh, hold on. I should do a different cry next time, I'm getting rather tired of this one...","Уа-а-а-а-а-а! Ой, нет, в следующий раз стоит сменить крик, этот уже поднадоел..."
line-21,嘉维尔,喂，他没事吧。,"Hey, is he alright?","Эй, он в порядке?"
line-23,森蚺,不用担心，等一会儿他就会回来了。,"No need to worry, he'll be back in a minute.","Не волнуйся, скоро он вернётся."
line-25,嘉维尔,好吧，不过那真的是普通人吗？我没听说有这样的啊。,Okay... is he like... a person? I've never heard of anyone like him before.,"Ладно, но он точно обычный человек? Я о таком никогда не слышала."
line-27,森蚺,不知道，大祭司只说过他在这里生活了很久很久。,"No idea, the High Priest only told me he's lived here for a very long time.","Не знаю, Верховный жрец говорил лишь то, что он живёт здесь очень-очень долго."
line-29,嘉维尔,好吧，比起这个......,Alright then. What else can we say...,"Хорошо, а что насчёт..."
line-30,嘉维尔,呼，真是个了不得的大家伙啊。,"Phew, he's really something...","Фух, ну и здоровенная же это штука."
line-32,煌,嘉维尔，你头上在流血啊，没事吧。,"Gavial, your head is bleeding. Are you okay?","Гавиаль, у тебя голова в крови, ты в порядке?"
line-34,嘉维尔,没事没事，这点小伤，特米米，把我的医疗包拿过来。,"It's fine, just a scratch. Tomimi, bring me my medical bag here.","Пустяки, пустяки, всего лишь царапина. Томими, принеси мою аптечку."
line-35,嘉维尔,嗯？特米米这丫头人呢？,Hm? Where did Tomimi go?,М-м? Где эта девчонка Томими делась?
line-37,宴,给，你的医疗包。至于特米米，刚才快要赢的时候我好像看到她慌慌张张地往其他地方跑去了。,"Here's your bag. And Tomimi, I think I saw her running off somewhere right before we won the fight.","Вот, держи аптечку. А что до Томими, я видела, как она в панике куда-то убежала, когда мы уже почти победили."
line-39,嘉维尔,谢了。她不会被吓破胆了吧，算了，先包扎再说。,"Thanks. She didn't get scared, did she? Anyway, let's patch ourselves up first.","Спасибо. Неужели она так перепугалась? Ладно, сначала перевязка."
line-40,嘉维尔,对了，你们去看看有没有受伤的家伙，全部带到我这来，我来给他们治疗。,"You go check if anyone's injured, and bring them to me if they are. I'll take care of them.","Кстати, сходите посмотрите, нет ли раненых. Всех несите ко мне, я их подлечу."
line-42,刻俄柏,噢，交给我吧！,Leave it to me!,"О, предоставь это мне!"
line-44,煌,哈哈，没问题。,"Haha, no problem.","Ха-ха, без проблем."
line-46,宴,诶，好麻烦啊。,"Ugh, what a pain. Fine.","Эх, какая морока."
line-48,可颂,别抱怨啦。,Quit yer belly-achin'.,Не жалуйся.
line-50,嘉维尔,博士......嗯？,Doctor... hmm?,Доктор... м-м?
line-52,森蚺,大丑......,The Big Ugly...,Биг Агли...
line-54,嘉维尔,祖玛玛，抱歉啊，只能把它拆掉了。,"Sorry, Zumama. We had to take it apart.","Зумама, прости, пришлось его разобрать."
line-56,森蚺,我知道。,I know.,Я знаю.
line-57,森蚺,我检查了一下，你的引擎还能用，我会把它还给你。,"I checked your engine, I think it's working fine. You can have it back.","Я проверила, твой двигатель ещё цел, я тебе его верну."
line-59,嘉维尔,是吗，太好了！,Oh yeah? That's great!,Правда? Отлично!
line-61,森蚺,嘉维尔，你不打算留下来吗？,"You really won't stay, Gavial?","Гавиаль, ты не собираешься остаться?"
line-63,嘉维尔,嗯，我和你一样，找到了要做的事。,"Yeah, just like you, I've found my calling.","Нет, я, как и ты, нашла то, чем хочу заниматься."
line-65,森蚺,是医生吗？,To be a doctor?,Быть врачом?
line-67,嘉维尔,是啊。,That's it.,Ага.
line-69,森蚺,做医生很开心吗？,Is doctoring fun?,Быть врачом — это весело?
line-71,嘉维尔,造机器很开心吗？,Is building machines fun?,А машины строить — весело?
line-73,森蚺,开心。,It is.,Весело.
line-75,嘉维尔,那就是了。,Same here.,Ну вот и ответ.
line-77,森蚺,但是，大酋长依然需要你来做。,But you still have to be the Great Chief.,Но племени всё равно нужен вождь.
line-79,嘉维尔,哈？,Huh?,А?
line-81,森蚺,无论如何，大丑倒下了是事实，你赢了，嘉维尔。,"Any way you slice it, you beat the Big, Ugly Thing. You won, Gavial.","Как бы то ни было, Биг Агли повержен — это факт. Ты победила, Гавиаль."
line-82,森蚺,看，人群重新聚集了起来，大家都在看着你。,"Look, everyone's here again. They're looking to you.","Смотри, люди снова собираются. Все смотрят на тебя."
line-84,嘉维尔,啧，博士，怎么办啊。,"Tch. Doctor, what do we do?","Черт, Доктор, что мне делать?"
line-85,,由你决定。;......;大酋长嘉维尔万岁！,Your call.;......;All hail Great Chief Gavial!,Решать тебе.;...;Да здравствует Великий вождь Гавиаль!
line-87,嘉维尔,这不是跟没说一样吗！,You're not giving me anything here!,Это же никак не помогает!
line-89,嘉维尔,博士，别装睡了！我可是医生！,"Doctor, I know you're awake! I'm a doctor!","Доктор, хватит притворяться спящим! Я вообще-то врач!"
line-91,嘉维尔,啧，博士，我现在真想给你一拳。,"Tch. Doctor, I really want to punch you right now.","Тьфу, Доктор, как же мне хочется тебе сейчас врезать."
line-94,特米米,嘉维尔，你没事吧！,"Gavial, are you hurt?!","Гавиаль, ты в порядке?!"
line-96,嘉维尔,嗯？没事。你跑哪里去了？,Hm? I'm fine. Where did you run off to?,"М-м? Да, всё нормально. Ты где пропадала?"
line-98,特米米,诶？啊，那个，我刚才忽然想上厕所！,"Huh? Oh, that... I had to go pee!","А? Ой, ну, это... мне просто резко приспичило в туалет!"
line-100,嘉维尔,好吧......嗯？,Okay... Hm?,Ладно... М-м?
line-102,特米米,怎么了，嘉维尔，你怎么忽然看着我？,"What's wrong, Gavial? Why are you looking at me like that?","Что случилось, Гавиаль? Почему ты так на меня смотришь?"
line-104,嘉维尔,唔......哈哈，有了！,"Hm... Haha, I've got it!","Хм... Ха-ха, придумала!"
line-106,嘉维尔,所有人都听着！,"Everyone, listen up!",Слушайте все!
line-107,嘉维尔,我战胜了大丑，所以接下来由我来担任大酋长。,"I beat the Big Ugly, so I'm going to be the Great Chief.","Я одолела Биг Агли, так что теперь я — Великий вождь."
line-108,嘉维尔,在这里，我要对你们说的是——,"And so, my message to you is——",И вот что я хочу вам сказать —
line-111,嘉维尔,拳头，就是一切！,Your fists are everything!,Сила — это всё!
line-115,特米米,诶，嘉维尔，你要留下来做大酋长了吗？,"Eh? Gavial, are you staying here to be the Great Chief?","Ой, Гавиаль, ты остаёшься, чтобы быть вождем?"
line-117,嘉维尔,但是！,But!,Но!
line-118,嘉维尔,我有非常重要的事要去做，所以我还是要离开。,"I have something very important I must do, so I have to leave.","У меня есть очень важные дела, так что я всё равно ухожу."
line-119,嘉维尔,不过你们不用担心！我不在的时候，会由特米米来代替我发号施令！,"Worry not, though! When I'm gone, Tomimi will give orders on my behalf!","Но не волнуйтесь! Пока меня нет, Томими будет отдавать приказы вместо меня!"
line-120,嘉维尔,把特米米当成是我就行了！,Just treat Tomimi as you would treat me!,"Считайте, что Томими — это я!"
line-122,特米米,诶、诶诶诶？,"Eh, w-w-what?",Че-чего-о?!
line-128,宴,诶，这样真的行得通吗？这里的人不是力量至上什么的。,Is that really gonna fly? Don't these people worship strength over everything?,"Э-э, это действительно сработает? Разве здесь не сила превыше всего?"
line-130,森蚺,但嘉维尔是大酋长，她已经征服了所有人，所以她说的话当然是令人信服的。,"Gavial is the Great Chief after all. She defeated everyone, so her word is law.","Но Гавиаль — вождь, она покорила всех, так что её слова, конечно же, имеют вес."
line-132,嘉维尔,哈哈，祖玛玛，机器虽然很有意思，但是对我来说，果然还是拳头更好啊。,"Haha. Zumama, machines are pretty cool, but I think I'll stick with my fists after all.","Ха-ха, Зумама, машины — это, конечно, интересно, но кулаки мне всё же ближе."
line-134,森蚺,哼，别忘了，我并没有承认你，我会造出更厉害的机器，然后再来挑战你。,"Hmph. Don't forget, I still don't recognize you. I'll build an even greater machine and challenge you again.","Хм, не забывай, я тебя ещё не признала. Я построю машину посильнее и брошу тебе вызов снова."
line-136,嘉维尔,好啊，我等着。,"Sure, I'll be waiting.","Хорошо, буду ждать."
line-137,嘉维尔,哦对了，在那之前，你得跟我走一趟。,"Oh, right. Before that, you need to come with me for a bit.","Ах да, до этого тебе придётся пойти со мной."
line-139,森蚺,为什么？,Why?,Зачем?
line-141,嘉维尔,你必须先跟我去罗德岛观察一下你的矿石病。,You need to come with me to Rhodes Island to get an Oripathy checkup.,"Ты должна отправиться на Родос Айленд, чтобы мы обследовали твой орипати."
line-143,森蚺,我可以拒绝吗，我还有大丑要......,Can I refuse? I still have to work on the Big Ugly...,Я могу отказаться? Мне ещё нужно заняться Биг Агли...
line-145,嘉维尔,这次可由不得你，而且在特米米就任前，我就是大酋长，就算是绑着你我也要带你去。,"You don't have a choice this time. Besides, until Tomimi takes over, I'm still the Great Chief. I'll bring you back even if I have to kidnap you.","В этот раз выбора у тебя нет. И пока Томими не вступила в должность, я — Великий вождь. Если понадобится, я тебя даже связанной утащу."
line-147,森蚺,好吧。,Fine.,Ладно.
line-149,特米米,......嘉维尔，你还是要走吗？,"...Gavial, are you going to leave after all?","...Гавиаль, ты всё-таки уходишь?"
line-151,嘉维尔,是啊，等把引擎拆下来装回飞行器上，我就该走了吧。,"Yep, I'll probably be leaving right as soon as we get the engine back in the aircraft.","Да, как только снимем двигатель и поставим его обратно на летательный аппарат, мне пора будет в путь."
line-154,特米米,......,......,...
line-155,特米米,不行。,No.,Нет.
line-157,嘉维尔,嗯？,Hm?,А?
line-159,特米米,我、我不准你走！,I-I won't let you leave!,Я... Я не позволю тебе уйти!
