ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act29side
__chapter__,,Chapter Name,activities/act29side/level_act29side_10_end,弥撒“君王”
,,,,
char-1,薇薇安,薇薇安,Vivian,Вивиан
char-2,薇薇安娜,薇薇安娜,Viviana,Вивианна
char-3,？？？,？？？,???,？？？
char-4,弗莱蒙特,弗莱蒙特,Fremont,Фримонт
char-5,巫王,巫王,Witch King,Король ведьм
char-6,阿尔图罗,阿尔图罗,Arturia,Артуро
char-7,费德里科,费德里科,Federico,Федерико
char-8,黑键,黑键,Ebenholz,Чёрный ключ
char-9,伊维格娜德,伊维格娜德,Ewigegnade,Ивегард
char-10,赫琳玛特,赫琳玛特,Grimmacht,Херлимарт
char-11,埃芒加德,埃芒加德,Ermengarde,Эменгард
char-12,“巫王的余音”？,“巫王的余音”？,'Witch King's Echo'?,......
char-13,米夏埃尔,米夏埃尔,Michael,Михаэль
char-14,莱辛,莱辛,Lessing,Лессинг
char-15,年轻的贵族,年轻的贵族,Young Noble,Молодой аристократ
char-16,阿尔图罗？,阿尔图罗？,Arturia?,Артуро？
char-17,“赫琳玛特”,“赫琳玛特”,'Grimmacht',«Херлимарт»
,,,,
line-13,,埃拉菲亚女孩背靠着书桌的桌脚盘坐着。她在膝盖上放了一个枕头，将一本书摊开在枕头上，烛火照亮她低垂着的柔和侧脸。,"The Elafia sits with her legs crossed, her back against a desk. She places a pillow on her knees and spreads open a book upon it, the candlelight illuminating her drooping head.","Девушка-элафия сидит, прислонившись спиной к ножке письменного стола. У неё на коленях подушка, на которой развёрнута книга, и пламя свечи освещает её опущенный мягкий профиль."
line-14,,她就那样窝在角落里看书，安静地，认真地。,The girl reads in undisturbed silence.,"Она так и сидит, свернувшись калачиком в углу, и читает — тихо и сосредоточенно."
line-16,,小女孩从书页间抬起头，对上薇薇安娜的眼睛。,Then she raises her head from the page to meet Viviana's gaze.,Маленькая девочка поднимает взгляд от страниц и встречается глазами с Вивианной.
line-21,薇薇安,......,......,......
line-23,薇薇安娜,薇薇安，你似乎并不惊讶？,"You don't seem very surprised to see me, Vivian.","Вивиан, ты, кажется, совсем не удивлена?"
line-25,薇薇安,......我看到了门口的影子，知道不是别人。,"...I saw your shadow in the doorway, and knew it was you.","......Я видела тень у двери и знала, что это никто иной, как ты."
line-27,薇薇安娜,是了，在这个小小的房间，只能靠烛火照明，你因此花了很长的时间观察阴影。,"Ja. You've spent so long observing the shadows in this tiny room, lit only by candlelight.","Конечно. В этой маленькой комнате, освещённой лишь свечой, ты проводишь долгие часы, наблюдая за тенями."
line-31,薇薇安娜,你在看的书是？,What are you reading?,Что это за книга?
line-33,薇薇安,《最后的骑士》。,'The Last Knight.',«Последний рыцарь».
line-34,薇薇安,我正看到......,I'm currently at the—,Я как раз читаю......
line-36,薇薇安娜,倒数第三章。无名的骑士身后是巨大而孤独的灯塔，海浪将他和他的坐骑罗辛南特一遍又一遍逼退。,Third-to-last chapter. Behind the nameless knight is a huge and lonely lighthouse. The relentless waves push him and his steed Rocinante back.,"Предпоследняя глава. За спиной безымянного рыцаря возвышается огромный и одинокий маяк, а морские волны раз за разом отбрасывают его и его скакуна, Росинанта, назад."
line-37,薇薇安娜,但他们一同怒吼，向着漆黑如夜的巨浪发起......,"But they roar as one, and towards the huge waves, as dark as night...","Но они вместе издают боевой клич и бросаются навстречу гигантским волнам, чёрным, как сама ночь......"
line-38,薇薇安娜,冲锋。,They charge.,В атаку.
line-40,薇薇安,呀，你不要剧透啊......,Eek! No spoilers please.,"Эй, не спойлери..."
line-42,薇薇安娜,一个晚上，你把这一段反反复复看了好几遍，直到抱着枕头在地上睡着，直到妈妈后半夜回来掐灭了蜡烛。,"You'll spend a night reading that paragraph over and over again, until you fall asleep on the floor with the pillow in your arms. Until Mutti returned in the middle of the night to blow out the candles.","Целый вечер ты перечитывала этот отрывок снова и снова, пока не уснула на полу, обнимая подушку, а мама не вернулась глубокой ночью и не задула свечу."
line-44,薇薇安,唔，你怎么知道？,Huh? How do you know?,"М-м, откуда ты знаешь?"
line-47,,她当然知道，这个房间、这个姿势、这本书......,"Of course she knows—the room, the posture, the book...","Разумеется, она знает. Эта комната, эта поза, эта книга......"
line-48,,这本就是她的记忆。,"This is her memory, after all.",Всё это — её собственные воспоминания.
line-52,,薇薇安娜倒退至门口。,Viviana retreats into the doorway.,Вивианна отступила к дверям.
line-55,薇薇安,你要离开吗？,Are you leaving?,Ты уходишь?
line-57,薇薇安娜,抱歉，薇薇安。,"I'm sorry, Vivian.","Прости, Вивиан."
line-58,薇薇安娜,这段人生里有我的问题，而我正要去寻找答案。,"I have questions about my life, and I need to look for the answers.","В этом отрезке жизни есть вопросы ко мне, и я должна найти на них ответы."
line-59,薇薇安娜,兴许，兴许还来得及打开下一扇门。,"Maybe, just maybe, there's still time to open one last door.","Может быть, только может быть, я ещё успею открыть следующую дверь."
line-61,薇薇安,你开过多少扇门了？,How many have you opened already?,Сколько дверей ты уже открыла?
line-63,薇薇安娜,一百多......我已经记不清了。,More than a hundred? I've already lost count.,Больше сотни...... Я уже не помню.
line-64,薇薇安娜,我只是想......找到一种更好的可能性。,I just want to... find a better possibility.,Я просто хочу...... найти лучший вариант.
line-66,薇薇安,唔，如果依然找不到呢？,Oh. And what if you still can't find one?,"М-м, а если ты его всё равно не найдёшь?"
line-67,薇薇安,“更好”，能像数学题那样清楚吗？,"Is 'better' something clearly defined, like a math problem?","Можно ли определить «лучшее» так же ясно, как решение математической задачи?"
line-69,薇薇安,在你进过的那一百多扇门里，可能爸爸妈妈多过了一段无人打扰的安宁生活，可能妈妈离开的时候比实际的要晚几年......,"In those doors you've entered, maybe Mutti and Vati got to live in peace together for longer, without anyone disturbing them, or maybe Mutti left us a few years later than she did.","Из тех сотни дверей, в которые ты входила: может быть, в какой-то из них папа и мама прожили на несколько лет больше, не зная тревог, может, мама ушла позже, чем в действительности......"
line-70,薇薇安,算起来，是不是其实也有过“更好”的答案？,"If you think about it, how do you know you haven't already come across a 'better' answer?","Если посчитать, разве не было там «лучшего» ответа?"
line-72,薇薇安,为什么，你依然觉得遗憾呢？,So why do you still carry so much regret?,Почему же ты всё равно чувствуешь сожаление?
line-74,薇薇安娜,我......,I...,Я......
line-76,薇薇安,你怎么确定还会找到更好的答案？,How can you be sure you'll ever find one in the first place?,"Как ты можешь быть уверена, что найдёшь лучший ответ?"
line-77,薇薇安,而且，找到了又能怎么样呢？该发生的不该发生的，都已经发生了呀......,And what happens even if you do? It won't change your past. What's meant to happen has already happened.,"И даже если найдёшь — что с того? То, что должно было произойти, и то, чего не должно было случиться — всё уже случилось......"
line-78,薇薇安,爸爸老是说，如果当年在金盏花小巷，他再等十分钟，兴许就能等到妈妈，兴许一切都会有所不同。,"Vati always said that if he'd waited at Marigold Alley for just ten more minutes, maybe he could have met with Mutti, and everything would have turned out differently.","Папа всегда говорит: если бы в тот день в переулке Календул он подождал ещё десять минут, возможно, он встретил бы маму, возможно, всё сложилось бы иначе."
line-80,薇薇安,“可惜命运不会给人重来一次的机会。”,'A pity fate does not afford us a chance to start over.',"«К несчастью, судьба не даёт второго шанса»."
line-82,薇薇安,可是，就算真的等到了，爸爸依然会离开的，不是吗？除了多给妈妈留下一次告别和哭泣，故事不会有任何的变化。,"But even if he did meet her, he'd still have to leave anyway, right? The story wouldn't change in any way, aside from giving Mutti one last chance to cry and say goodbye.","Но даже если бы он дождался, папа всё равно бы ушёл, не так ли? Кроме того, что маме пришлось бы ещё раз попрощаться и поплакать, история ни капли бы не изменилась."
line-83,薇薇安,所以，你其实希望找不到更好的答案？因为这样就能说服自己，“本来就没有更好的办法”。,Or maybe you're actually <i>hoping</i> you won't find a better answer? Because then you could tell yourself that this was the best of all possible worlds?,"Так что, может, ты на самом деле надеешься не найти лучшего ответа? Ведь так можно убедить себя: «лучшего выхода изначально не было»."
line-84,薇薇安,我不明白，这不是跟爸爸一样吗？,I just don't get it. Aren't you thinking the same way that Vati did?,"Я не понимаю, разве это не то же самое, что делает папа?"
line-86,薇薇安娜,薇薇安......,Vivian...,Вивиан......
line-92,薇薇安,我要接着看书了......,I'm going back to my book.,Я продолжу читать......
line-94,薇薇安娜,薇薇安，你很失望，对不对？,"You're disappointed, aren't you?","Вивиан, ты разочарована, правда?"
line-96,薇薇安,......,......,......
line-97,薇薇安,快离开吧，你还来得及开启下一扇门。,You should go. There's still time to open the next door.,"Скорее уходи, ты ещё успеешь открыть следующую дверь."
line-107,,坍塌的动静更近了。,The sound of collapse approaches.,Гул обрушения доносится всё ближе.
line-108,,薇薇安娜转过身，她此刻已经能看清，那些不知为何正在崩毁的门，像是连续倒塌的骨牌，像是记忆中彻夜的烟火......,"Viviana turns around. The line of doors collapsing in succession scores in her eyes, like dominoes toppling into one another, or the fireworks in her memories going off all night long.","Вивианна поворачивается и видит: те двери, что рушатся неизвестно почему, похожи на падающие костяшки домино или на фейерверки, вспыхивавшие всю ночь напролёт в её воспоминаниях......"
line-109,,由远及近地扑向这座施彤领中央最高的高塔。,"The rumbles travel from afar, reaching the tallest spire in Sturmland.",Они приближаются к самой высокой башне в центре владений Шитон.
line-110,,父亲平常极少来这里，而在节日的夜晚，作为选帝侯，他更需要接待络绎不绝的宾客，身为侍女的母亲则要忙碌至次日凌晨。,"Her father seldom comes here. As the Kurfürst, he has to receive an endless line of visitors on festival nights, and her maid mother will be busy serving them until the early hours of the morning.","Отец редко бывал здесь, а в праздничные вечера, будучи курфюрстом, он был занят приёмом бесконечных гостей, в то время как мать, работавшая горничной, хлопотала до рассвета."
line-111,,她就这么缩在房间的角落，用书本屏蔽一切声响......,"She would huddle in the corner of a room, just like now, and shield the sounds outside with books.","Она же, свернувшись в углу комнаты, книгой отгораживалась от всех звуков......"
line-116,,“等到浪潮退去，等到荣誉与生命一同消逝。”,"'Once the waves washed away, once glory and life together faded.'","«Когда схлынет прилив, когда честь и жизнь исчезнут вместе»."
line-117,,“世间万物皆由兴至衰，化为尘土。”,"'The world and all its beings fell from zenith to nadir, becoming dust.'","«Всё в мире переходит от расцвета к упадку, рассыпаясь прахом»."
line-118,,“等到熔炉迸发烟火，等到天灾降临，等到家人与故友都将其遗忘。”,"'Once the forge belched its flames, once Catastrophe descended, once families and old friends alike forsook the soul.'","«Когда горн разразится искрами, когда придёт катастрофа, когда родные и старые друзья предадут забвению»."
